id,name,synonym_names,taggings_count,name_with_ancestry
170192,graduation,"[""Commencement""]",14,graduation
170196,parents,"[""parent""]",15,parents
170201,Dr. Hitt,"[""President Hitt"", ""John C. Hitt"", ""John Hitt""]",60,Dr. Hitt
170204,ceremony,[],23,ceremony
170206,President Hitt,"[""Dr. Hitt"", ""John C. Hitt"", ""John Hitt""]",0,President Hitt
170210,Haines City,[],58,Haines City
170211,IronMan,[],58,IronMan
170212,Sports,[],183,Sports
170213,Race,[],70,Race
170214,Running,[],70,Running
170215,Swimming,[],60,Swimming
170221,Color Run,[],15,Color Run
170223,campus beauty,"[""campus""]",533,campus beauty
170224,library,"[""John C. Hitt Library""]",63,library
170226,fountain,[],105,fountain
170234,students,"[""student""]",2332,students
170237,John C. Hitt Library,"[""library""]",17,John C. Hitt Library
170242,outside,[],14,outside
170272,Disney,[],90,Disney
170273,FIesta Bowl,[],404,FIesta Bowl
170274,fans,"[""fan""]",645,fans
170275,Parade,[],66,Parade
170276,Tostitos,[],44,Tostitos
170277,UCF Disney Parade,[],44,UCF Disney Parade
170278,Disney Parade,[],9,Disney Parade
170279,UCF Knights,[],11,UCF Knights
170281,Walt Disney World,[],9,Walt Disney World
170282,Pegasus,[],229,Pegasus
170283,Student Union,[],323,Student Union
170286,boardwalk,[],1,boardwalk
170290,brick,[],3,brick
170292,Projection,[],49,Projection
170293,shadow,[],3,shadow
170335,Singing,[],18,Singing
170336,student life,[],1841,student life
170337,Humans of UCF,[],2,Humans of UCF
170338,Knights of UCF,[],127,Knights of UCF
170340,student portrait,"[""Student Portraits""]",2,student portrait
170341,Guitar,[],12,Guitar
170342,Portrait,[],92,Portrait
170350,music,[],438,music
170351,arts,[],498,arts
170352,piano,[],13,piano
170353,Teaching Academy,[],210,Teaching Academy
170358,Band,[],20,Band
170359,drums,[],21,drums
170360,practice,[],76,practice
170363,Longboard,"[""skateboard""]",28,Longboard
170365,Jazz,[],52,Jazz
170366,saxaphone,[],6,saxaphone
170417,alumni,[],414,alumni
170418,Arena,[],209,Arena
170421,Football,[],161,Football
170422,Knightro,[],902,Knightro
170423,Knights,[],11,Knights
170426,Pep rally,[],86,Pep rally
170427,Rally,[],69,Rally
170471,ACE,[],58,ACE
170472,ACE Day,[],58,ACE Day
170473,ACE Day UCF,[],55,ACE Day UCF
170474,Children,[],409,Children
170475,Education,[],173,Education
170477,Learning,[],12,Learning
170478,Middle School,[],58,Middle School
170479,Tour,[],167,Tour
170480,bio,[],10,bio
170481,biology,[],279,biology
170482,skull,[],11,skull
170483,Event,[],197,Event
170485,UCF Ace Day,[],3,UCF Ace Day
170486,Spirit Splash,[],1197,Spirit Splash
170497,Symphony,[],55,Symphony
170632,Knight,[],5,Knight
170638,Fairwinds Alumni Center,[],24,Fairwinds Alumni Center
170639,Millican Hall,[],92,Millican Hall
170640,statue,[],91,statue
170643,Millican Statue,[],12,Millican Statue
170645,2013,[],1117,2013
170646,Panoramic,[],14,Panoramic
170647,CFE Arena,[],68,CFE Arena
170650,Knight's Plaza,[],2,Knight's Plaza
170651,Classroom 1,"[""Classroom Building I"", ""Classroom I"", ""Classroom One"", ""CB1""]",0,Classroom 1
170652,Classroom 2,"[""Classroom II"", ""Classroom Two"", ""Classroom Building II"", ""CB2""]",0,Classroom 2
170653,Nature,[],128,Nature
170654,Window,[],4,Window
170657,sunset,[],4,sunset
170659,classroom,[],389,classroom
170669,pegasus seal,[],29,pegasus seal
170693,books,[],24,books
170694,reading,[],14,reading
170695,studying,"[""study""]",414,studying
170696,study,"[""studying""]",0,study
170702,CREOL,[],209,CREOL
170703,optics,[],42,optics
170704,photonics,[],10,photonics
170707,lasers,"[""laser""]",189,lasers
170708,laser,"[""lasers""]",0,laser
170709,research,[],669,research
170743,ROTC,[],151,ROTC
170749,chip,[],1,chip
170854,Burnett Honors College,[],168,Burnett Honors College
170856,Honors College,[],10,Honors College
170857,Gym,[],20,Gym
170858,Recreation and Wellness Center,"[""RWC""]",307,Recreation and Wellness Center
170859,fitness,[],35,fitness
170860,health,[],49,health
170861,rock climbing,[],50,rock climbing
170862,Leisure Pool,[],51,Leisure Pool
170870,Flying Horse,[],29,Flying Horse
170871,Open House,[],43,Open House
170872,Pegasus Magazine,[],1069,Pegasus Magazine
170873,concert,[],230,concert
170874,jazz concert,[],14,jazz concert
170876,Health Expo 2013,[],17,Health Expo 2013
170877,nursing,[],674,nursing
170878,Pegasus Ballroom,[],49,Pegasus Ballroom
170879,flu shots,[],17,flu shots
170936,garden,"[""gardening""]",50,garden
170937,gardening,"[""garden""]",39,gardening
170955,Lake Claire,[],45,Lake Claire
170958,Sky,[],21,Sky
170960,Summer,[],211,Summer
170964,canoe,"[""kayak""]",30,canoe
170965,kayak,"[""canoe""]",6,kayak
170976,Washington Center,[],2,Washington Center
170994,Bubble,[],2,Bubble
170995,bubbles,[],2,bubbles
171002,bat homes,"[""bat home""]",1,bat homes
171008,woodworking,[],7,woodworking
171018,sunny,[],2,sunny
171019,Chalk,[],18,Chalk
171025,math,"[""mathematics""]",14,math
171026,mathematics,"[""math""]",0,mathematics
171030,Trees,[],12,Trees
171031,Athletics,[],312,Athletics
171032,Track,[],17,Track
171035,calculate,[],2,calculate
171036,laptops,[],58,laptops
171037,tiltshift,[],2,tiltshift
171060,bikes,"[""bike"", ""bicycle"", ""bicycles""]",98,bikes
171064,skateboard,"[""Longboard"", ""skate""]",14,skateboard
171066,class,[],23,class
171068,film,[],6,film
171072,Engineering Building,[],16,Engineering Building
171073,bike,"[""bikes"", ""bicycle"", ""bicycles""]",15,bike
171077,travel,[],27,travel
171080,IDEAS,[],86,IDEAS
171089,fashion,[],11,fashion
171095,transportation,[],97,transportation
171096,yoga,[],13,yoga
171100,outdoors,[],25,outdoors
171110,Admissions,[],408,Admissions
171111,Classroom II,"[""Classroom 2"", ""Classroom Two"", ""Classroom Building II"", ""CB2""]",85,Classroom II
171112,Viewbook,[],1531,Viewbook
171120,Science,[],152,Science
171209,soccer,[],2,soccer
171210,UCF Athletics,[],35,UCF Athletics
171212,Citronuat Baseball Uniforms,[],4,Citronuat Baseball Uniforms
171213,Citronuat,[],4,Citronuat
171214,Baseball,[],10,Baseball
171216,Football Cover,[],2,Football Cover
171218,track and field,"[""UCF Track""]",21,track and field
171222,UCF Football,[],4388,UCF Football
171229,COM,[],183,COM
171230,College of Medicine,[],770,College of Medicine
171233,2010,[],123,2010
171234,Engineering center,[],12,Engineering center
171235,Harris Engineering,"[""Harris Engineering Center"", ""Harris Corporation Engineering Center""]",0,Harris Engineering
